district,state,sim1,sim2,sim3,sim4,sim5
serchhip,mizoram,mamit (mizoram),daman (dadra and nagar haveli and daman and diu),diu (dadra and nagar haveli and daman and diu),kolasib (mizoram),mammit (mizoram)
chumukedima,nagaland,purba champaran (bihar),aurangabad(bh) (bihar),samstipur (bihar),sant ravidas nagar bhadohi (uttar pradesh),monghyr (bihar)
dimapur,nagaland,kohima (nagaland),lakhisarai (bihar),mon (nagaland),tuensang (nagaland),alirajpur (madhya pradesh)
kiphire,nagaland,longding (arunachal pradesh),longleng (nagaland),zunheboto (nagaland),phek (nagaland),wokha (nagaland)
kohima,nagaland,tuensang (nagaland),dimapur (nagaland),mon (nagaland),phek (nagaland),sheikhpura (bihar)
longleng,nagaland,longding (arunachal pradesh),kiphire (nagaland),noklak (nagaland),peren (nagaland),phek (nagaland)
meluri,nagaland,shi-yomi (arunachal pradesh),kurung kumey (arunachal pradesh),kra daadi (arunachal pradesh),lower siang (arunachal pradesh),leparada (arunachal pradesh)
mokokchung,nagaland,chandel (manipur),wokha (nagaland),papum pare (arunachal pradesh),jiribam (manipur),west (sikkim)
mon,nagaland,tuensang (nagaland),kohima (nagaland),phek (nagaland),dimapur (nagaland),churachandpur (manipur)
niuland,nagaland,sheikpura (bihar),south (sikkim),rajauri (jammu and kashmir),lower siang (arunachal pradesh),sahibganj (jharkhand)
noklak,nagaland,longleng (nagaland),longding (arunachal pradesh),kiphire (nagaland),peren (nagaland),south sikkim (sikkim)
peren,nagaland,west karbi anglong (assam),tuensang (nagaland),mon (nagaland),kohima (nagaland),south sikkim (sikkim)
phek,nagaland,tuensang (nagaland),mon (nagaland),kohima (nagaland),zunheboto (nagaland),kiphire (nagaland)
shamator,nagaland,kamle (arunachal pradesh),sant ravidas nagar bhadohi (uttar pradesh),aurangabad(bh) (bihar),north garo hills (meghalaya),bhabua (bihar)
tseminyu,nagaland,lower siang (arunachal pradesh),siang (arunachal pradesh),shi-yomi (arunachal pradesh),tirap (arunachal pradesh),lower dibang valley (arunachal pradesh)
tuensang,nagaland,mon (nagaland),kohima (nagaland),phek (nagaland),dimapur (nagaland),peren (nagaland)
wokha,nagaland,zunheboto (nagaland),chandel (manipur),mokokchung (nagaland),phek (nagaland),kiphire (nagaland)
zunheboto,nagaland,wokha (nagaland),kiphire (nagaland),phek (nagaland),chandel (manipur),mokokchung (nagaland)
angul,odisha,kandhamal (odisha),sambalpur (odisha),tehri garhwal (uttarakhand),kupwara (jammu and kashmir),puri (odisha)
anugal,odisha,west medinipur (west bengal),hawrah (west bengal),bhabua (bihar),sant ravidas nagar bhadohi (uttar pradesh),mahrajganj (uttar pradesh)
anugul,odisha,leh (jammu and kashmir),s.a.s nagar(mohali) (punjab),garhwa  (jharkhand),mumbai( sub urban ) (maharashtra),nandurbar  (maharashtra)
balangir,odisha,baleswar (odisha),bidar (karnataka),kendujhar (odisha),panchmahals (gujarat),sehore (madhya pradesh)
baleshwar,odisha,kulgam (jammu and kashmir),purbi singhbhum (jharkhand),khordha (odisha),boudh (odisha),north east (delhi)
baleswar,odisha,balangir (odisha),sehore (madhya pradesh),panchmahals (gujarat),bidar (karnataka),medak (telangana)
bargarh,odisha,viluppuram (tamil nadu),gandhinagar (gujarat),gulbarga (karnataka),dharmapuri (tamil nadu),bellary (karnataka)
baudh,odisha,kinnaur (himachal pradesh),nawanshahr (punjab),ahmed nagar (maharashtra),kolasib (mizoram),niwari (madhya pradesh)
bhadrak,odisha,kalahandi (odisha),ganganagar (rajasthan),sabarkantha (gujarat),hyderabad (andhra pradesh),koraput (odisha)
boudh,odisha,medak (andhra pradesh),kishtwar (jammu and kashmir),khordha (odisha),sonapur (odisha),dadra and nagar haveli (dadra and nagar haveli and daman and diu)
cuttack,odisha,kollam (kerala),haridwar (uttarakhand),krishnagiri (tamil nadu),tiruppur (tamil nadu),erode (tamil nadu)
debagarh,odisha,jagatsinghpur (odisha),uttarkashi (uttarakhand),ganderbal (jammu and kashmir),kullu (himachal pradesh),chickmagalur (karnataka)
dhenkanal,odisha,jajapur (odisha),theni (tamil nadu),warangal (telangana),sas nagar (mohali) (punjab),ramanathapuram (tamil nadu)
gajapati,odisha,idukki (kerala),ariyalur (tamil nadu),kanker (chhattisgarh),fazilka (punjab),wayanad (kerala)
ganjam,odisha,tirunelveli (tamil nadu),cuddalore (tamil nadu),karimnagar (telangana),madurai (tamil nadu),bilaspur (chhattisgarh)
jagatsinghapur,odisha,kathua (jammu and kashmir),ballari (karnataka),kapurthala (punjab),anantnag (jammu and kashmir),chikkaballapur (karnataka)
jagatsinghpur,odisha,debagarh (odisha),samba (jammu and kashmir),ganderbal (jammu and kashmir),davanagere (karnataka),chikkamagaluru (karnataka)
jajapur,odisha,dhenkanal (odisha),nuapada (odisha),sas nagar (mohali) (punjab),theni (tamil nadu),punch (jammu and kashmir)
jajpur,odisha,harda (madhya pradesh),malkangiri (odisha),punch (jammu and kashmir),east midnapore (west bengal),bandipore (jammu and kashmir)
jharsuguda,odisha,puducherry (puducherry),pathankot (punjab),chamoli (uttarakhand),solan (himachal pradesh),almora (uttarakhand)
kalahandi,odisha,bhadrak (odisha),ganganagar (rajasthan),hanumangarh (rajasthan),koraput (odisha),kottayam (kerala)
kandhamal,odisha,angul (odisha),kupwara (jammu and kashmir),puri (odisha),sambalpur (odisha),tehri garhwal (uttarakhand)
kendrapara,odisha,nagapattinam (tamil nadu),jammu (jammu and kashmir),thiruvarur (tamil nadu),hyderabad (andhra pradesh),kendujhar (odisha)
kendrapara ,odisha,north east  (delhi),ramanagara (karnataka),shopian (jammu and kashmir),nabarangpur (odisha),24 paraganas south (west bengal)
kendujhar,odisha,jammu (jammu and kashmir),balangir (odisha),hyderabad (andhra pradesh),baleswar (odisha),nalgonda (telangana)
khorda,odisha,sivaganga (tamil nadu),puri (odisha),sundergarh (odisha),ramanathapuram (tamil nadu),shahdol (madhya pradesh)
khordha,odisha,medak (andhra pradesh),the dangs (gujarat),boudh (odisha),dakshin bastar dantewada (chhattisgarh),sonapur (odisha)
koraput,odisha,hanumangarh (rajasthan),kalahandi (odisha),alappuzha (kerala),bhadrak (odisha),kottayam (kerala)
malkangiri,odisha,jajpur (odisha),harda (madhya pradesh),punch (jammu and kashmir),karur (tamil nadu),east midnapore (west bengal)
mayurbhanj,odisha,thrissur (kerala),pudukkottai (tamil nadu),tikamgarh (madhya pradesh),mahabubnagar (telangana),palamu (jharkhand)
nabarangapur,odisha,hazaribagh (jharkhand),sawai madhopur (rajasthan),shamli (uttar pradesh),amroha (uttar pradesh),rajsamand (rajasthan)
nabarangpur,odisha,24 paraganas south (west bengal),shopian (jammu and kashmir),sivasagar (assam),s.a.s nagar (punjab),dang (gujarat)
nayagarh,odisha,perambalur (tamil nadu),sambalpur (odisha),tehri garhwal (uttarakhand),tarn taran (punjab),dindori (madhya pradesh)
nuapada,odisha,jajapur (odisha),punch (jammu and kashmir),rajouri (jammu and kashmir),dhenkanal (odisha),north east (delhi)
puri,odisha,khorda (odisha),sivaganga (tamil nadu),kandhamal (odisha),baramula (jammu and kashmir),nagapattinam (tamil nadu)
rayagada,odisha,kasaragod (kerala),rajouri (jammu and kashmir),punch (jammu and kashmir),kottayam (kerala),thiruvarur (tamil nadu)
sambalpur,odisha,tehri garhwal (uttarakhand),angul (odisha),nayagarh (odisha),kandhamal (odisha),anuppur (madhya pradesh)
sonapur,odisha,dadra and nagar haveli (dadra and nagar haveli and daman and diu),medak (andhra pradesh),the dangs (gujarat),khordha (odisha),dakshin bastar dantewada (chhattisgarh)
subarnapur,odisha,nizamabad (andhra pradesh),garhwa  (jharkhand),ahmed nagar (maharashtra),mumbai( sub urban ) (maharashtra),harda  (madhya pradesh)
sundargarh,odisha,lunglei (mizoram),dantewada (chhattisgarh),shupiyan (jammu and kashmir),karimnagar (andhra pradesh),nizamabad (andhra pradesh)
sundergarh,odisha,ramanathapuram (tamil nadu),theni (tamil nadu),khorda (odisha),sivaganga (tamil nadu),puri (odisha)
karaikal,puducherry,parvathipuram manyam (andhra pradesh),bageshwar (uttarakhand),budgam (jammu and kashmir),muktsar (punjab),champawat (uttarakhand)
pondicherry,puducherry,chickmagalur (karnataka),rudraprayag (uttarakhand),jharsuguda (odisha),pathankot (punjab),chamoli (uttarakhand)
puducherry,puducherry,jharsuguda (odisha),pathankot (punjab),chamoli (uttarakhand),solan (himachal pradesh),almora (uttarakhand)
yanam,puducherry,janjgir champa (chhattisgarh),garhwal (uttarakhand),north (sikkim),raigarh(mh) (maharashtra),hardwar (uttarakhand)
amritsar,punjab,hingoli (maharashtra),ratlam (madhya pradesh),rajgarh (madhya pradesh),medak (telangana),vadodara (gujarat)
barnala,punjab,rupnagar (punjab),budgam (jammu and kashmir),buldana (maharashtra),narmada (gujarat),south goa (goa)
bathinda,punjab,mungeli (chhattisgarh),sangrur (punjab),bemetara (chhattisgarh),washim (maharashtra),korba (chhattisgarh)
faridkot,punjab,kabeerdham (chhattisgarh),buldana (maharashtra),sri muktsar sahib (punjab),mansa (punjab),south goa (goa)
fatehgarh sahib,punjab,south goa (goa),buldana (maharashtra),gariyaband (chhattisgarh),sri muktsar sahib (punjab),faridkot (punjab)
fazilka,punjab,kanker (chhattisgarh),gariyaband (chhattisgarh),gajapati (odisha),ariyalur (tamil nadu),idukki (kerala)
ferozepur,punjab,moga (punjab),sri muktsar sahib (punjab),sindhudurg (maharashtra),ananthapur (andhra pradesh),buldana (maharashtra)
firozpur,punjab,muktsar (punjab),parvathipuram manyam (andhra pradesh),karimnagar (andhra pradesh),karaikal (puducherry),nizamabad (andhra pradesh)
gurdaspur,punjab,karimnagar (telangana),virudhunagar (tamil nadu),namakkal (tamil nadu),hoshiarpur (punjab),anantapur (andhra pradesh)
hoshiarpur,punjab,srinagar (jammu and kashmir),anantapur (andhra pradesh),gurdaspur (punjab),anuppur (madhya pradesh),nainital (uttarakhand)
jalandhar,punjab,jalna (maharashtra),raigarh (maharashtra),akola (maharashtra),warangal (telangana),adilabad (telangana)
kapurthala,punjab,jagatsinghapur (odisha),mysuru (karnataka),kathua (jammu and kashmir),amreli (gujarat),bellary (karnataka)
ludhiana,punjab,saharanpur (uttar pradesh),nagaon (assam),dhar (madhya pradesh),rajkot (gujarat),indore (madhya pradesh)
malerkotla,punjab,sundargarh (odisha),lunglei (mizoram),purbi singhbhum (jharkhand),shupiyan (jammu and kashmir),kulgam (jammu and kashmir)
mansa,punjab,faridkot (punjab),ferozepur (punjab),sri muktsar sahib (punjab),kabeerdham (chhattisgarh),sindhudurg (maharashtra)
moga,punjab,sri muktsar sahib (punjab),ferozepur (punjab),buldana (maharashtra),ananthapur (andhra pradesh),rupnagar (punjab)
muktsar,punjab,parvathipuram manyam (andhra pradesh),firozpur (punjab),karaikal (puducherry),nawanshahr (punjab),lakshadweep (lakshadweep)
nawanshahr,punjab,kinnaur (himachal pradesh),niwari (madhya pradesh),muktsar (punjab),baudh (odisha),lakshadweep (lakshadweep)
pathankot,punjab,chamoli (uttarakhand),jharsuguda (odisha),solan (himachal pradesh),puducherry (puducherry),rudraprayag (uttarakhand)
patiala,punjab,nellore (andhra pradesh),udham singh nagar (uttarakhand),raigarh (maharashtra),thoothukkudi (tamil nadu),erode (tamil nadu)
rupnagar,punjab,barnala (punjab),narmada (gujarat),panchkula (haryana),ferozepur (punjab),buldana (maharashtra)
s.a.s nagar,punjab,dang (gujarat),24 paraganas south (west bengal),dinajpur dakshin (west bengal),nabarangpur (odisha),shopian (jammu and kashmir)
s.a.s nagar(mohali),punjab,anugul (odisha),mayiladuthurai (tamil nadu),garhwa  (jharkhand),davanagere (karnataka),bagalkot  (karnataka)
sangrur,punjab,bathinda (punjab),kanniyakumari (tamil nadu),ananthapur (andhra pradesh),dindori (madhya pradesh),mungeli (chhattisgarh)
sas nagar (mohali),punjab,theni (tamil nadu),dhenkanal (odisha),adilabad (telangana),kupwara (jammu and kashmir),warangal (telangana)
shaheed bhagat singh nagar,punjab,champawat (uttarakhand),bageshwar (uttarakhand),south goa (goa),pithoragarh (uttarakhand),rudraprayag (uttarakhand)
sri muktsar sahib,punjab,moga (punjab),buldana (maharashtra),ferozepur (punjab),faridkot (punjab),kabeerdham (chhattisgarh)
tarn taran,punjab,dindori (madhya pradesh),srinagar (jammu and kashmir),nayagarh (odisha),perambalur (tamil nadu),anuppur (madhya pradesh)
ajmer,rajasthan,guna (madhya pradesh),sikar (rajasthan),vadodara (gujarat),nandurbar (maharashtra),vidisha (madhya pradesh)
alwar,rajasthan,jodhpur (rajasthan),nagaur (rajasthan),moradabad (uttar pradesh),chhatarpur (madhya pradesh),banaskantha (gujarat)
balotra,rajasthan,beawar (rajasthan),didwana-kuchaman (rajasthan),salumbar (rajasthan),ahilyanagar (maharashtra),hooghiy (west bengal)
banswara,rajasthan,dungarpur (rajasthan),sahebganj (jharkhand),faizabad (uttar pradesh),kaushambi (uttar pradesh),sambhal (uttar pradesh)
baran,rajasthan,bastar (chhattisgarh),tonk (rajasthan),kota (rajasthan),garhwa (jharkhand),ashok nagar (madhya pradesh)
barmer,rajasthan,ranchi (jharkhand),nagaur (rajasthan),pilibhit (uttar pradesh),araria (bihar),darbhanga (bihar)
beawar,rajasthan,balotra (rajasthan),didwana-kuchaman (rajasthan),salumbar (rajasthan),ahilyanagar (maharashtra),hooghiy (west bengal)
bharatpur,rajasthan,meerut (uttar pradesh),churu (rajasthan),etah (uttar pradesh),bikaner (rajasthan),purnia (bihar)
bhilwara,rajasthan,dhar (madhya pradesh),sikar (rajasthan),kachchh (gujarat),nagaon (assam),panna (madhya pradesh)
bikaner,rajasthan,banka (bihar),fatehpur (uttar pradesh),udaipur (rajasthan),bharatpur (rajasthan),jalor (rajasthan)
bundi,rajasthan,tonk (rajasthan),lalitpur (uttar pradesh),ashok nagar (madhya pradesh),baran (rajasthan),garhwa (jharkhand)
chittaurgarh,rajasthan,kasargod (kerala),medchal−malkajgiri (telangana),kargil (ladakh),bagalkot  (karnataka),thiruvallur (tamil nadu)
chittorgarh,rajasthan,gumla (jharkhand),hazaribagh (jharkhand),hathras (uttar pradesh),etawah (uttar pradesh),jhansi (uttar pradesh)
churu,rajasthan,dahod (gujarat),shivpuri (madhya pradesh),araria (bihar),begusarai (bihar),pilibhit (uttar pradesh)
dausa,rajasthan,kannur (kerala),bastar (chhattisgarh),tonk (rajasthan),lalitpur (uttar pradesh),seraikela-kharsawan (jharkhand)
deeg,rajasthan,tamulpur district (assam),purba champaran (bihar),aurangabad(bh) (bihar),bhabua (bihar),chumukedima (nagaland)
dhaulpur,rajasthan,jhunjhunu (rajasthan),hardwar (uttarakhand),sahibganj (jharkhand),kargil (jammu and kashmir),pakaur (jharkhand)
dholpur,rajasthan,karauli (rajasthan),sawai madhopur (rajasthan),shamli (uttar pradesh),amroha (uttar pradesh),howrah (west bengal)
didwana-kuchaman,rajasthan,balotra (rajasthan),beawar (rajasthan),salumbar (rajasthan),ahilyanagar (maharashtra),hooghiy (west bengal)
dungarpur,rajasthan,banswara (rajasthan),sahebganj (jharkhand),godda (jharkhand),faizabad (uttar pradesh),kaushambi (uttar pradesh)
ganganagar,rajasthan,bhadrak (odisha),kalahandi (odisha),sabarkantha (gujarat),thrissur (kerala),hyderabad (andhra pradesh)
hanumangarh,rajasthan,koraput (odisha),kalahandi (odisha),ganganagar (rajasthan),bhadrak (odisha),alappuzha (kerala)
jaipur,rajasthan,thane (maharashtra),jodhpur (rajasthan),saharanpur (uttar pradesh),alwar (rajasthan),ludhiana (punjab)
jaisalmer,rajasthan,hamirpur (uttar pradesh),ramgarh (jharkhand),sukma (chhattisgarh),khunti (jharkhand),sheohar (bihar)
jalor,rajasthan,etah (uttar pradesh),sirohi (rajasthan),bharatpur (rajasthan),bikaner (rajasthan),barwani (madhya pradesh)
jalore,rajasthan,dima hasao (assam),eastern west khasi hills (meghalaya),bengaluru rural (karnataka),medchal malkajgiri (telangana),ahmednagar (maharashtra)
jhalawar,rajasthan,tonk (rajasthan),amroha (uttar pradesh),baran (rajasthan),bastar (chhattisgarh),kachchh (gujarat)
jhunjhunu,rajasthan,pakaur (jharkhand),palamau (jharkhand),hardwar (uttarakhand),hazaribag (jharkhand),sahibganj (jharkhand)
jhunjhunun,rajasthan,surendra nagar (gujarat),kota (rajasthan),east singhbhum (jharkhand),garhwa (jharkhand),guna (madhya pradesh)
jodhpur,rajasthan,alwar (rajasthan),saharanpur (uttar pradesh),nagaur (rajasthan),moradabad (uttar pradesh),khargone (madhya pradesh)
karauli,rajasthan,sawai madhopur (rajasthan),dholpur (rajasthan),datia (madhya pradesh),shamli (uttar pradesh),amroha (uttar pradesh)
kota,rajasthan,baran (rajasthan),east singhbhum (jharkhand),palamu (jharkhand),jhunjhunun (rajasthan),bastar (chhattisgarh)
nagaur,rajasthan,barmer (rajasthan),ranchi (jharkhand),jodhpur (rajasthan),khargone (madhya pradesh),alwar (rajasthan)
pali,rajasthan,palghar (maharashtra),kachchh (gujarat),amroha (uttar pradesh),shamli (uttar pradesh),east singhbhum (jharkhand)
pratapgarh,rajasthan,seraikela-kharsawan (jharkhand),khammam (telangana),rajsamand (rajasthan),lalitpur (uttar pradesh),bundi (rajasthan)
rajsamand,rajasthan,seraikela-kharsawan (jharkhand),pratapgarh (rajasthan),nabarangapur (odisha),hazaribagh (jharkhand),bundi (rajasthan)
salumbar,rajasthan,didwana-kuchaman (rajasthan),balotra (rajasthan),ahilyanagar (maharashtra),beawar (rajasthan),hooghiy (west bengal)
sawai madhopur,rajasthan,nabarangapur (odisha),shamli (uttar pradesh),amroha (uttar pradesh),hazaribagh (jharkhand),karauli (rajasthan)
sikar,rajasthan,bhilwara (rajasthan),kachchh (gujarat),dhar (madhya pradesh),nandurbar (maharashtra),east singhbhum (jharkhand)
sirohi,rajasthan,jhabua (madhya pradesh),jalor (rajasthan),sheopur (madhya pradesh),jamui (bihar),alirajpur (madhya pradesh)
tonk,rajasthan,bundi (rajasthan),baran (rajasthan),bastar (chhattisgarh),jhalawar (rajasthan),dausa (rajasthan)
udaipur,rajasthan,begusarai (bihar),samastipur (bihar),shivpuri (madhya pradesh),dhule (maharashtra),bulandshahr (uttar pradesh)
east,sikkim,kodarma (jharkhand),east sikkim (sikkim),west kameng (arunachal pradesh),pashchimi singhbhum (jharkhand),purnea (bihar)
east sikkim,sikkim,kodarma (jharkhand),west kameng (arunachal pradesh),east (sikkim),purnea (bihar),changlang (arunachal pradesh)
mangan,sikkim,pherzawl (manipur),namchi (sikkim),jhajjar  (haryana),namakkal  (tamil nadu),tamulpur district (assam)
namchi,sikkim,bajali (assam),warangal (urban) (telangana),manendragarh–chirmiri–bharatpur (chhattisgarh),sribhumi (assam),jyotiba phule nagar (uttar pradesh)
north,sikkim,raigarh(mh) (maharashtra),hardwar (uttarakhand),yanam (puducherry),janjgir champa (chhattisgarh),saitual (mizoram)
north sikkim,sikkim,k.v.rangareddy (andhra pradesh),tawang (arunachal pradesh),nandurbar  (maharashtra),najafgarh (delhi),tirap (arunachal pradesh)
south,sikkim,ukhrul (manipur),west (sikkim),sahibganj (jharkhand),east siang (arunachal pradesh),jiribam (manipur)
south sikkim,sikkim,west sikkim (sikkim),peren (nagaland),kohima (nagaland),tuensang (nagaland),phek (nagaland)
west,sikkim,east siang (arunachal pradesh),papum pare (arunachal pradesh),lower subansiri (arunachal pradesh),east kameng (arunachal pradesh),jiribam (manipur)
west sikkim,sikkim,south sikkim (sikkim),kohima (nagaland),north cachar hills (assam),changlang (arunachal pradesh),tuensang (nagaland)
ariyalur,tamil nadu,warangal (telangana),gajapati (odisha),adilabad (telangana),dhenkanal (odisha),idukki (kerala)
chengalpattu,tamil nadu,shahdara (delhi),jayashankar bhupalpally (telangana),south salmara mankachar (assam),darjiling (west bengal),wanaparthy (telangana)
chennai,tamil nadu,coimbatore (tamil nadu),tiruvallur (tamil nadu),beed (maharashtra),thanjavur (tamil nadu),sangli (maharashtra)
coimbatore,tamil nadu,chennai (tamil nadu),thanjavur (tamil nadu),bangalore (karnataka),thiruvananthapuram (kerala),palakkad (kerala)
cuddalore,tamil nadu,vellore (tamil nadu),tirunelveli (tamil nadu),rewa (madhya pradesh),betul (madhya pradesh),tiruchirappalli (tamil nadu)
dharmapuri,tamil nadu,viluppuram (tamil nadu),shahdol (madhya pradesh),singrauli (madhya pradesh),gandhinagar (gujarat),villupuram (tamil nadu)
dindigul,tamil nadu,sangli (maharashtra),kollam (kerala),cuttack (odisha),latur (maharashtra),haridwar (uttarakhand)
erode,tamil nadu,tiruppur (tamil nadu),thoothukkudi (tamil nadu),krishnagiri (tamil nadu),bangalore (karnataka),nalgonda (telangana)
kallakurichi,tamil nadu,jangoan (telangana),mahabubabad (telangana),narayanpet (telangana),hanumakonda (telangana),mulugu (telangana)
kancheepuram,tamil nadu,mahabubnagar (telangana),malappuram (kerala),tiruvallur (tamil nadu),aurangabad (maharashtra),nandurbar (maharashtra)
kanchipuram,tamil nadu,panch mahals (gujarat),sabar kantha (gujarat),banas kantha (gujarat),east jaintia hills (meghalaya),new delhi (delhi)
kanniyakumari,tamil nadu,sangrur (punjab),fatehabad (haryana),kurukshetra (haryana),ananthapuramu (andhra pradesh),sirsa (haryana)
kanyakumari,tamil nadu,pulwama (jammu and kashmir),shivamogga (karnataka),mahendragarh (haryana),tumakuru (karnataka),navsari (gujarat)
karur,tamil nadu,gulbarga (karnataka),bellary (karnataka),bargarh (odisha),amreli (gujarat),viluppuram (tamil nadu)
krishnagiri,tamil nadu,thoothukkudi (tamil nadu),erode (tamil nadu),tiruppur (tamil nadu),cuttack (odisha),kollam (kerala)
madurai,tamil nadu,cuddalore (tamil nadu),ganjam (odisha),vellore (tamil nadu),tiruvannamalai (tamil nadu),tirunelveli (tamil nadu)
mayiladuthurai,tamil nadu,narmadapuram (madhya pradesh),davanagere (karnataka),medchal−malkajgiri (telangana),s.a.s nagar(mohali) (punjab),west nimar (madhya pradesh)
nagapattinam,tamil nadu,kendrapara (odisha),jammu (jammu and kashmir),thiruvarur (tamil nadu),puri (odisha),sivaganga (tamil nadu)
namakkal,tamil nadu,virudhunagar (tamil nadu),gurdaspur (punjab),karimnagar (telangana),hoshiarpur (punjab),khorda (odisha)
namakkal ,tamil nadu,namakkal  (tamil nadu),mangan (sikkim),pherzawl (manipur),kamrup (meghalaya),ahmednagar (maharashtra)
perambalur,tamil nadu,nayagarh (odisha),pauri garhwal (uttarakhand),shimla (himachal pradesh),sambalpur (odisha),tarn taran (punjab)
pudukkottai,tamil nadu,thrissur (kerala),mayurbhanj (odisha),east singhbhum (jharkhand),garhwa (jharkhand),sabarkantha (gujarat)
ramanathapuram,tamil nadu,sundergarh (odisha),theni (tamil nadu),khorda (odisha),thoothukkudi (tamil nadu),krishnagiri (tamil nadu)
ranipet,tamil nadu,pandhurna (madhya pradesh),south east delhi (delhi),jangaon (telangana),raigarh(mh) (maharashtra),rangareddy (telangana)
salem,tamil nadu,tirunelveli (tamil nadu),bilaspur (chhattisgarh),vellore (tamil nadu),ganjam (odisha),tiruchirappalli (tamil nadu)
sivaganga,tamil nadu,khorda (odisha),puri (odisha),shahdol (madhya pradesh),jammu (jammu and kashmir),sundergarh (odisha)
tenkasi,tamil nadu,badgam (jammu and kashmir),tirupattur (tamil nadu),hasan (karnataka),vijayanagara (karnataka),chikkamagaluru (karnataka)
thanjavur,tamil nadu,palakkad (kerala),thiruvananthapuram (kerala),nalgonda (telangana),haridwar (uttarakhand),tikamgarh (madhya pradesh)
the nilgiris,tamil nadu,north east (delhi),pathanamthitta (kerala),rangareddi (andhra pradesh),north tripura (tripura),simdega (jharkhand)
theni,tamil nadu,ramanathapuram (tamil nadu),sundergarh (odisha),dhenkanal (odisha),sas nagar (mohali) (punjab),adilabad (telangana)
thiruvallur,tamil nadu,kargil (jammu and kashmir),kargil (ladakh),chittaurgarh (rajasthan),saiha (mizoram),medchal−malkajgiri (telangana)
thiruvarur,tamil nadu,kendrapara (odisha),nagapattinam (tamil nadu),bidar (karnataka),jammu (jammu and kashmir),hyderabad (andhra pradesh)
thoothukkudi,tamil nadu,erode (tamil nadu),krishnagiri (tamil nadu),tiruppur (tamil nadu),damoh (madhya pradesh),ramanathapuram (tamil nadu)
tiruchirappalli,tamil nadu,vellore (tamil nadu),rewa (madhya pradesh),betul (madhya pradesh),tirunelveli (tamil nadu),cuddalore (tamil nadu)
tirunelveli,tamil nadu,vellore (tamil nadu),cuddalore (tamil nadu),salem (tamil nadu),tiruchirappalli (tamil nadu),ganjam (odisha)
tirupathur,tamil nadu,east midnapur (west bengal),lahaul and spiti (himachal pradesh),kushinagar  (uttar pradesh),rupnagar (chandigarh),yanam (puducherry)
tirupattur,tamil nadu,chikkamagaluru (karnataka),alluri sitharama raju (andhra pradesh),kullu (himachal pradesh),kodagu (karnataka),tenkasi (tamil nadu)
tiruppur,tamil nadu,erode (tamil nadu),bangalore (karnataka),krishnagiri (tamil nadu),thoothukkudi (tamil nadu),cuttack (odisha)
tiruvallur,tamil nadu,mahabubnagar (telangana),chennai (tamil nadu),south delhi (delhi),kancheepuram (tamil nadu),beed (maharashtra)
tiruvannamalai,tamil nadu,nizamabad (telangana),balaghat (madhya pradesh),sidhi (madhya pradesh),junagadh (gujarat),seoni (madhya pradesh)
tiruvarur,tamil nadu,leh (ladakh) (jammu and kashmir),bijapur(kar) (karnataka),burdwan (west bengal),udupi  (karnataka),hingoli  (maharashtra)
tuticorin,tamil nadu,rajauri (jammu and kashmir),tseminyu (nagaland),leparada (arunachal pradesh),lower siang (arunachal pradesh),shi-yomi (arunachal pradesh)
vellore,tamil nadu,tirunelveli (tamil nadu),cuddalore (tamil nadu),tiruchirappalli (tamil nadu),rewa (madhya pradesh),betul (madhya pradesh)
villupuram,tamil nadu,singrauli (madhya pradesh),mahesana (gujarat),belgaum (karnataka),shajapur (madhya pradesh),anand (gujarat)
viluppuram,tamil nadu,bargarh (odisha),dharmapuri (tamil nadu),gandhinagar (gujarat),bellary (karnataka),amreli (gujarat)
virudhunagar,tamil nadu,namakkal (tamil nadu),karimnagar (telangana),gurdaspur (punjab),hoshiarpur (punjab),sidhi (madhya pradesh)
adilabad,telangana,warangal (telangana),ariyalur (tamil nadu),sas nagar (mohali) (punjab),theni (tamil nadu),dhenkanal (odisha)
bhadradri kothagudem,telangana,west midnapore (west bengal),sangareddy (telangana),bardhaman (west bengal),nagarkurnool (telangana),paschim bardhaman (west bengal)
hanumakonda,telangana,jangoan (telangana),siddipet (telangana),mancherial (telangana),sri sathya sai (andhra pradesh),warangal rural (telangana)
hyderabad,telangana,indore (madhya pradesh),bengaluru (karnataka),rajkot (gujarat),ludhiana (punjab),barddhaman (west bengal)
jagitial,telangana,kamareddy (telangana),rajanna sircilla (telangana),peddapalli (telangana),sangareddy (telangana),nagarkurnool (telangana)
jangaon,telangana,hugli (west bengal),jyotiba phule nagar (uttar pradesh),ranipet (tamil nadu),medinipur (west bengal),pandhurna (madhya pradesh)
jangoan,telangana,hanumakonda (telangana),mahabubabad (telangana),siddipet (telangana),warangal rural (telangana),kallakurichi (tamil nadu)
jayashankar bhupalpally,telangana,chengalpattu (tamil nadu),south dinajpur (west bengal),komaram bheem (telangana),darjiling (west bengal),jogulamba gadwal (telangana)
jogulamba gadwal,telangana,yadadri. (telangana),narayanpet (telangana),komaram bheem (telangana),wanaparthy (telangana),mahabubabad (telangana)
k.v. rangareddy,telangana,barddhaman (west bengal),vadodara (gujarat),south delhi (delhi),bijnor (uttar pradesh),ajmer (rajasthan)
kamareddy,telangana,jagitial (telangana),sangareddy (telangana),rajanna sircilla (telangana),nagarkurnool (telangana),purba bardhaman (west bengal)
